Industry,Question,Gold_SQL,Generated_SQL
Retail,When was the last time we sold Application Hosting,"select transaction_date from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where account_type in ('income','other income') and product_service = ""application hosting"" order by transaction_date desc limit 1",
Retail,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,"select avg(quantity_per_transaction) from (select transaction_id, sum(quantity) as quantity_per_transaction from master_txn_table where transaction_type = 'sales receipt' and payment_method = ""[payment_method]"" group by transaction_id)",
Retail,When was the last time we sold Photography,"select transaction_date from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where account_type in ('income','other income') and product_service = ""photography"" order by transaction_date desc limit 1",
Retail,How much revenue came through John Roberson This quarter?,"select sum(credit) from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where customers = """"john roberson"""" and account_type in ('income','other income') and transaction_date >= strftime('%y-%m-%d', strftime('%y', 'now', '-1 year') || '-' || substr('00' || (((strftime('%m', 'now') - 1) / 3) * 3 + 1), -2, 2) || '-01')",
Retail,Compare sales by customer Last month,"select customers, sum(credit) from master_txn_table where account in ('income','other income') and transaction_date between date( current_date, ""start of month"", ""-1 months"") and date( current_date, ""start of month"", ""-1 days"") group by customers",
Service,What was the first invoice value for Application service provider services in This week to date?,"select min(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""application service provider services"") and transaction_date between date( current_date, ""weekday 0"", ""-7 days"") and date( current_date)",
Service,How many Service Provider did we sell to Robert Townsend in jan this year?,"select sum(quantity) from master_txn_table where customers = ""robert townsend"" and product_service = 'service provider' and transaction_type in ('invoice', 'sales receipt') and transaction_date between date(current_date, 'start of year') and date(current_date, 'start of year', '+1 month', '-1 day')",
Service,Number of invoices created for Home-care Service in This year?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and instr(account,""home-care service"") and transaction_date between date(current_date, 'start of year') and date(current_date)",
Service,What was the lowest invoice value for Full-service restaurants in in dec last year?,"select min(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""full-service restaurants"") and transaction_date between date(current_date, '-1 year', 'start of year', '+11 month') and date(current_date, '-1 year', 'start of year', '+12 month', '-1 day')",
Service,What was the mean invoice value for Home-care Service in in q1 this year?,"select avg(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""home-care service"") and transaction_date between date(current_date, 'start of year') and date(current_date, 'start of year', '+3 month', '-1 day')",
Service,Number of invoices created for Full-service restaurants in MTD?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and instr(account,""full-service restaurants"") and transaction_date between date( current_date, ""start of month"") and date( current_date)",
Service,How many Service Provisioning did we sell to Leonard Bennett This fiscal year?,"select sum(quantity) from master_txn_table where customers = ""leonard bennett"" and product_service = 'service provisioning' and transaction_type in ('invoice', 'sales receipt') and transaction_date between date(current_date, '-3 months', 'start of year', '+3 months') and date(current_date)",
Service,How many Service Provisioning did we sell to Amanda Johnson in q1 this year?,"select sum(quantity) from master_txn_table where customers = ""amanda johnson"" and product_service = 'service provisioning' and transaction_type in ('invoice', 'sales receipt') and transaction_date between date(current_date, 'start of year') and date(current_date, 'start of year', '+3 month', '-1 day')",
Service,What was the average invoice value for Application service provider services in This fiscal year to date?,"select avg(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""application service provider services"") and transaction_date between date(current_date, '-3 months', 'start of year', '+3 months') and date(current_date, '-3 months', 'start of year','+1 year', '+3 months', '-1 day')",
Service,How much did Andrew Parker spend on Full-service restaurants in July during last year?,"select sum(debit) from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where t1.customers = ""andrew parker"" and instr(account,""full-service restaurants"") and strftime(""%m"", transaction_date) = '07' and strftime(""%y"", transaction_date) = strftime('%y', current_date) - 1 and account_type in ('expense','other expense')",
Service,What was the min invoice value for Legal & Professional Fees in in jan this year?,"select min(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""legal & professional fees"") and transaction_date between date(current_date, 'start of year') and date(current_date, 'start of year', '+1 month', '-1 day')",
Service,Number of invoices created for Legal & Professional Fees in Last year?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and instr(account,""legal & professional fees"") and transaction_date between date(current_date, 'start of year', '-1 days', 'start of year') and date(current_date, 'start of year', '-1 days')",
Service,What was the last invoice value for Application service provisioning in yesterday?,"select max(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""application service provisioning"") and transaction_date between date( current_date, ""-1 day"") and date( current_date, ""-1 day"")",
Service,Number of invoices created for Full-service restaurants in This quarter to date?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and instr(account,""full-service restaurants"") and transaction_date >= strftime('%y-%m-%d', strftime('%y', 'now', '-1 year') || '-' || substr('00' || (((strftime('%m', 'now') - 1) / 3) * 3 + 1), -2, 2) || '-01')",
Service,How much did Natasha Chung spend on Home-care Service in July during last year?,"select sum(debit) from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where t1.customers = ""natasha chung"" and instr(account,""home-care service"") and strftime(""%m"", transaction_date) = '07' and strftime(""%y"", transaction_date) = strftime('%y', current_date) - 1 and account_type in ('expense','other expense')",
